id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"5558607","2011-04-05 21:13:50","2","8045","Sort a pandas DataMatrix in ascending order","2","0","1","Jason Strimpel","5132","Wes McKinney","63311"
"8270129","2011-11-25 13:55:02","1","916","Pandas Panel for share portfolio","1","0","","Evan Davey","145","Wes McKinney","63311"
"8273092","2011-11-25 18:39:02","1","2413","python: pandas install errors","2","0","","codingknob","3404","codingknob","3404"
"8914992","2012-01-18 18:00:16","4","1020","indexing several csv files with pandas from records?","1","1","1","","","Wes McKinney","63311"
"8916302","2012-01-18 19:41:27","35","25498","selecting across multiple columns with python pandas?","3","0","16","","","Wes McKinney","63311"
"9597681","2012-03-07 07:56:37","5","4212","read_csv converters for unkown columns","1","0","","Jose Blanca","70","Wes McKinney","63311"
"9721429","2012-03-15 14:08:31","10","10929","How do I read a fix width format text file in pandas","4","2","","user1234440","6650","user1234440","6650"
"9723000","2012-03-15 15:33:47","6","1369","How do I tell pandas to parse a particular column as a datetime object, but not make it an index?","1","0","3","Uri Laserson","1130","Wes McKinney","63311"
"10009468","2012-04-04 10:38:56","9","4818","GroupBy functions in Python Pandas like SUM(col_1*col_2), weighted average etc","3","0","4","Arthur G","1087","Wes McKinney","63311"
"10015284","2012-04-04 16:22:28","2","4455","How you create a datetime index in pandas","3","0","1","Merlin","10242","",""
"10017938","2012-04-04 19:27:14","2","1784","How to index with a list of values with only one label in a Pandas MultiIndex","1","0","1","John Cornwell","124","LmW.","1151"
"10020591","2012-04-04 23:17:23","29","30010","How to resample a dataframe with different functions applied to each column?","4","0","19","bmu","24487","bmu","24487"
"10145224","2012-04-13 17:08:02","9","5753","Pandas: trouble understanding how merge works","1","0","5","Rafael S. Calsaverini","5972","Avaris","27096"
"10158613","2012-04-15 00:37:31","4","2334","Importing Confusion Pandas","3","1","","user1234440","6650","Wes McKinney","63311"
"10175068","2012-04-16 13:27:44","15","8166","Select data at a particular level from a MultiIndex","2","3","5","elyase","27069","elyase","27069"
"10194482","2012-04-17 15:45:10","13","18194","custom matplotlib plot : chess board like table with colored cells","1","3","11","Abhi","2423","Joe Kington","198545"
"10215259","2012-04-18 18:04:04","5","2179","pandas aggregated data to a numpy array : data structure conversion","1","0","3","Abhi","2423","Wes McKinney","63311"
"10264739","2012-04-22 02:35:06","9","2702","major memory problems reading in a csv file using numpy","3","2","7","vgoklani","2970","vgoklani","2970"
"10422438","2012-05-02 22:12:45","1","2191","Check if HDF5 Store object is empty?","1","0","","nitin","3938","bmu","24487"
"10457584","2012-05-05 00:00:12","81","133917","Redefining the Index in a Pandas DataFrame object","2","1","22","nitin","3938","Avaris","27096"
"10475488","2012-05-07 00:38:47","7","3143","Calculating crossing (intercept) points of a Series or DataFrame","1","1","3","dailyglen","500","dailyglen","500"
"10484424","2012-05-07 15:04:58","0","202","Possible bug in Series.interpolate","2","0","","dailyglen","500","Avaris","27096"
